cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade,nome_municipio,uf,municipio,n_eventos_aderentes,valor_total_liberado,tem_historico
2409605,82,149.85365853658536,0.537,0.496,0.645,0.469,30.25,MEDIA,Pedra Preta,RN,,0,,False
2921401,318,220.2264150943396,0.572,0.515,0.582,0.62,30.19,MEDIA,Mirangaba,BA,,0,,False
2302305,1476,186.3231707317073,0.52,0.507,0.495,0.557,30.17,MEDIA,Bela Cruz,CE,,0,,False
2707404,170,173.64117647058825,0.556,0.503,0.653,0.513,30.16,MEDIA,Porto de Pedras,AL,,0,,False
2111953,96,151.53125,0.496,0.495,0.566,0.427,30.15,MEDIA,Sucupira do Riachão,MA,,0,,False
2200400,1591,188.7944688874921,0.506,0.507,0.517,0.495,30.14,MEDIA,Altos,PI,,0,,False
1720804,285,269.6877192982456,0.567,0.521,0.597,0.582,30.08,MEDIA,Sítio Novo do Tocantins,TO,,0,,False
2207603,348,173.2844827586207,0.536,0.501,0.5,0.607,30.05,MEDIA,Parnaguá,PI,,0,,False
3118809,1566,218.713282247765,0.498,0.512,0.404,0.579,30.04,MEDIA,Coração de Jesus,MG,,0,,False
1503507,1809,136.76395798783858,0.544,0.486,0.554,0.593,30.02,MEDIA,Irituia,PA,,0,,False
2509057,274,135.12773722627736,0.563,0.485,0.657,0.547,30.02,MEDIA,Marcação,PB,,0,,False
2513000,106,116.93396226415096,0.552,0.473,0.602,0.581,29.95,MEDIA,Salgadinho,PB,,0,,False
1508035,1321,96.2906888720666,0.589,0.456,0.616,0.694,29.95,MEDIA,Tracuateua,PA,,0,,False
2109601,1735,188.31815561959647,0.526,0.502,0.53,0.545,29.87,MEDIA,Rosário,MA,,0,,False
2312809,73,113.76712328767124,0.493,0.469,0.507,0.503,29.85,MEDIA,Senador Sá,CE,,0,,False
2401859,164,140.1341463414634,0.509,0.483,0.571,0.473,29.77,MEDIA,Caiçara do Norte,RN,,0,,False
2211100,2324,105.44492254733218,0.512,0.461,0.535,0.539,29.77,MEDIA,União,PI,,0,,False
